order_id,customer_name,item_name,item_category,quantity,unit_price,total_price,order_date,delivery_date,payment_method,delivery_address,city,country
1,Mandi Narbett,Lemon Basil Pasta Sauce,Food - Sauces,97,178.65,9944.66,12/9/2021,3/17/2021,Online Payment,8557 Barby Plaza,Giồng Trôm,Vietnam
2,Jolynn Defew,Avocado Oil,Food - Oils,80,188.15,5976.43,8/28/2021,6/22/2021,Cash,026 Farragut Hill,Cachón,Dominican Republic
3,Paulie Petticrow,Stylish Wide-Leg Trousers,Clothing - Bottoms,65,811.5,8021.16,3/14/2021,10/15/2021,Online Payment,702 Del Sol Circle,Zhenqian,China
4,Dianemarie Dunstan,Feta Cheese Crumbles,Food - Dairy,41,662.64,7994.57,3/3/2021,3/29/2021,Cash,21 Straubel Point,Jinja,Uganda
5,Boyd Hairyes,Portable Hammock Swing,Outdoor,68,825.81,4528.55,5/25/2021,4/30/2021,Credit Card,173 Orin Center,Wąpielsk,Poland
6,Sarajane Covolini,Maple Bacon Popcorn,Food - Snacks,22,82.89,2288.14,12/23/2021,6/11/2021,Online Payment,2778 Eliot Terrace,Lhabupu,China
7,Allard Barizeret,Pest Control Traps,Home,72,33.39,5209.94,6/18/2021,10/28/2021,Online Payment,847 Coleman Drive,Houten,Netherlands
8,Grete Emblen,Organic Coconut Flour,Food - Baking,83,124.88,4673.6,3/31/2021,10/12/2021,Online Payment,248 Arapahoe Point,Langtad,Philippines
9,Jefferson Beazleigh,Almond Butter,Food - Condiments,38,562.64,8509.89,3/8/2021,11/5/2021,Credit Card,40 Lakewood Place,Artur Nogueira,Brazil
10,Maryann Glaister,Teriyaki Chicken Bowl,Food - Prepared Meals,28,733.14,4.39,9/29/2021,2/20/2021,Credit Card,00245 Kennedy Way,Yasothon,Thailand
11,Linzy Claypole,Chicken Sausage,Food - Meat,99,870.42,1325.0,1/21/2021,2/2/2021,Cash,0 Jenifer Hill,Burlatskoye,Russia
12,Nessa Kelway,Traditional Hummus,Food - Dips,85,643.36,9996.69,6/16/2021,3/1/2021,Cash,46 Blackbird Crossing,Arari,Brazil
13,Emili Grioli,Frozen Vegetarian Pizza,Food - Frozen Meals,36,672.92,4429.27,1/22/2021,6/23/2021,Online Payment,14 Hallows Street,Saginaw,United States
14,Delainey Croydon,Canvas Wall Art,Home,91,265.54,2672.81,8/15/2021,1/3/2021,Credit Card,729 Vahlen Road,Tobias Barreto,Brazil
15,Jonathon Buist,Dried Cranberries,Food - Snacks,11,907.08,4913.17,12/15/2021,8/15/2021,Credit Card,53 Prentice Plaza,Novo Selo,Bulgaria
16,Gracia Huygens,Sriracha Sauce,Food - Condiments,100,871.14,797.42,6/7/2021,6/25/2021,Credit Card,26 Shasta Circle,Jaroměř,Czech Republic
17,Brittani Barnet,Lemon Basil Pasta Sauce,Food - Sauces,23,626.78,2206.3,12/11/2021,9/28/2021,Credit Card,88243 Randy Hill,Nalsian Norte,Philippines
18,Dan Kempson,Savory Oatmeal Cups,Food - Breakfast,81,991.33,9534.43,8/23/2021,1/21/2021,Online Payment,80346 Manufacturers Plaza,Otavi,Namibia
19,Blondy Bulgen,Garden Hose,Garden,60,249.99,761.96,5/14/2021,2/4/2021,Online Payment,02959 Hansons Drive,Qinglong,China
20,Xylia Scrigmour,Balsamic Vinaigrette,Food - Dressings,4,518.87,2585.41,4/16/2021,10/4/2021,Credit Card,246 Dovetail Court,Jinzao,China
21,Helsa Spadoni,Travel Pillow,Travel,43,302.82,6193.33,3/18/2021,5/29/2021,Credit Card,30 John Wall Terrace,Corroios,Portugal
22,Codie MacNockater,Backpacking Tent,Outdoor,23,42.68,8962.44,7/21/2021,3/23/2021,Credit Card,70598 Myrtle Lane,Ribeira Quente,Portugal
